Category,Subcategory,Skill,,Level,,,,,,, 
,,,,,2,,,,,,     
,,,,,,3,,,,,300095* 300165*    
,,,,,,,4,,,,     
,,,,,,,,5,,,301124*     
DELIVERY AND OPERATION,SERVICE DESIGN,AVAILABILITY MANAGEMENT,AVMT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SERVICE LEVEL MANAGEMENT,SLMO,,2,,,,,,     
,,,,,,3,,,,,300165*     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,SERVICE TRANSITION,SERVICE ACCEPTANCE,SEAC,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,CONFIGURATION MANAGEMENT,CFMG,,2,,,,,,     
,,,,,,3,,,,,300165*     
,,,,,,,4,,,,     
,,,,,,,,5,,,301124*       
,,,,,,,,,6,,     
,,ASSET MANAGEMENT,ASMG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,CHANGE MANAGEMENT,CHMG,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,RELEASE AND DEPLOYMENT,RELM,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,SERVICE OPERATION,SYSTEM SOFTWARE,SYSP,,,3,,,,,300165*     
,,,,,,,4,,,,300096* 300404*    
,,,,,,,,5,,,301124*     
,,CAPACITY MANAGEMENT,CPMG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SECURITY ADMINISTRATION,SCAD,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,300143* 301124*      
,,,,,,,,,6,,
,,PENETRATION TESTING,PENT,,,,4,,,,     
,,,,,,,,5,,,301124*  
,,,,,,,,,6,,
,,RADIO FREQUENCY ENGINEERING,RFEN,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,APPLICATIONS SUPPORT,ASUP,,2,,,,,,     
,,,,,,3,,,,,300165*     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,IT INFRASTRUCTURE,ITOP,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,300698*     
,,DATABASE ADMINISTRATION,DBAD,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,STORAGE MANAGEMENT,STMG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,NETWORK SUPPORT,NTAS,,2,,,,,,     
,,,,,,3,,,,,300095*     
,,,,,,,4,,,,     
,,,,,,,,5,,,301124*     
,,PROBLEM MANAGEMENT,PBMG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,INCIDENT MANAGEMENT,USUP,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,FACILITIES MANAGEMENT,DCMA,,,3,,,,,300165*     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
SKILLS AND QUALITY,SKILLS MANAGEMENT,LEARNING AND DEVELOPMENT MANAGEMENT,ETMG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,LEARNING ASSESSMENT AND EVALUATION,LEDA,,,3,,,,,300404*     
,,,,,,,4,,,,300799*     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,LEARNING DESIGN AND DEVELOPMENT,TMCR,,,,4,,,,     
,,,,,,,,5,,,300128*     
,,,,,,,,,6,,     
,,LEARNING DELIVERY,ETDL,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,TEACHING AND SUBJECT FORMATION,TEAC,,,,,5,,,     
,,,,,,,,,6,,     
,PEOPLE MANAGEMENT,PERFORMANCE MANAGEMENT,PEMT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,RESOURCING,RESC,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,PROFESSIONAL DEVELOPMENT,PDSV,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,QUALITY AND CONFORMANCE,QUALITY MANAGEMENT,QUMG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,QUALITY ASSURANCE,QUAS,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,QUALITY STANDARDS,QUST,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,CONFORMANCE REVIEW,CORE,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SAFETY ASSESSMENT,SFAS,,,,,5,,,     
,,,,,,,,,6,,     
,,DIGITAL FORENSICS,DGFS,,,,4,,,,     
,,,,,,,,5,,,301124*     
,,,,,,,,,6,,     
RELATIONSHIPS AND ENGAGEMENT,STAKEHOLDER MANAGEMENT,SOURCING,SORC,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,CONTRACT MANAGEMENT,ITCM,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,STAKEHOLDER RELATIONSHIP MANAGEMENT,RLMT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,CLIENT SERVICES MANAGEMENT,CSMG,,3,,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,SALES AND MARKETING,DIGITAL MARKETING,MKTG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SELLING,SALE,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SALES SUPPORT,SSUP,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,PRODUCT MANAGEMENT,PROD,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
STRATEGY AND ARCHITECTURE,INFORMATION STRATEGY,IT GOVERNANCE,GOVN,,,,,5,,,"300144*, 300585"
,,,,,,,,,6,,
,,,,,,,,,,7,
,,IT STRATEGY AND PLANNING,ITSP,,,,,5,,,"300144* ,300570, 300578*"
,,,,,,,,,6,,
,,,,,,,,,,7,
,,INFORMATION MANAGEMENT,IRMG,,,,4,,,,"300570, 300578*, 300579*, 300580"
,,,,,,,,5,,,"300144*, 300958*"
,,,,,,,,,6,,
,,,,,,,,,,7,
,,INFORMATION SYSTEMS CO-ORDINATION,ISCO,,,,,,6,,"300144*, 300585"
,,,,,,,,,,7,
,,INFORMATION SECURITY,SCTY,,,3,,,,,"300580, 300585"
,,,,,,,4,,,,300579*
,,,,,,,,5,,,
,,,,,,,,,6,,"300582*, 300583*"
,,,,,,,,,,7,
,,INFORMATION ASSURANCE,INAS,,,,,5,,,
,,,,,,,,,6,,
,,,,,,,,,,7,
,,INFORMATION ANALYSIS,INAN,,,3,,,,,300580
,,,,,,,4,,,,300570
,,,,,,,,5,,,"300144*, 300579*, 300700"
,,,,,,,,,6,,300585
,,,,,,,,,,7,
,,INFORMATION CONTENT PUBLISHING,ICPM,1,,,,,,,"300144*, 300580"
,,,,,2,,,,,,
,,,,,,3,,,,,
,,,,,,,4,,,,300570
,,,,,,,,5,,,"300579*, 300582*, 300583*"
,,,,,,,,,6,,
,ADVICE AND GUIDANCE,CONSULTANCY,CNSL,,,,,5,,,"300144*, 300578*"
,,,,,,,,,6,,
,,TECHNICAL SPECIALISM,TECH,,,,4,,,,"300144*, 300565, 300578*, 300579*, 300580"
,,,,,,,,5,,,"300095*, 300698*, 300582*, 300583*"
,,,,,,,,,6,,
,BUSINESS STRATEGY AND PLANNING,RESEARCH,RSCH,,2,,,,,,"300579*, 300580, 300700"
,,,,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,300570
,,,,,,,,,6,,
,,IT MANAGEMENT,ITMG,,,,,5,,,"300144*, 300578*, 300579*"
,,,,,,,,,6,,
,,FINANCIAL MANAGEMENT,FMIT,,,,4,,,,300144*
,,,,,,,,5,,,
,,,,,,,,,6,,
,,INNOVATION,INOV,,,,,5,,,
,,,,,,,,,6,,"300570, 300902*"
,,BUSINESS PROCESS IMPROVEMENT,BPRE,,,,,5,,,
,,,,,,,,,6,,"300144*, 300578*"
,,,,,,,,,,7,
,,ENTERPRISE AND BUSINESS ARCHITECTURE DEVELOPMENT,STPL,,,,,5,,,"300144*, 300578*"
,,,,,,,,,6,,
,,,,,,,,,,7,
,,BUSINESS RISK MANAGEMENT,BURM,,,,4,,,,"300144*, 300578*"
,,,,,,,,5,,,
,,,,,,,,,6,,
,,,,,,,,,,7,
,,SUSTAINABILITY STRATEGY,SUST,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,TECHNICAL STRATEGY AND PLANNING,EMERGING TECHNOLOGY MONITORING,EMRG,,,,4,,,,"300144*, 300579*, 300585, 300698*"
,,,,,,,,5,,,�300570
,,,,,,,,,6,,
,,CONTINUITY MANAGEMENT,COPL,,,,4,,,,
,,,,,,,,5,,,
,,SUSTAINABILITY MANAGEMENT FOR IT,SUMI,,,,,5,,,300578*
,,,,,,,,,6,,
,,NETWORK PLANNING,NTPL,,,,,5,,,300095*
,,,,,,,,,6,,
,,SOLUTION ARCHITECTURE,ARCH,,,,,5,,,"300144*, 300578*, 300698*"
,,,,,,,,,6,,
,,DATA MANAGEMENT,DATM,,2,,,,,,"300095*, 300570, 300580"
,,,,,,3,,,,,300585
,,,,,,,4,,,,
,,,,,,,,5,,,"300579*, 300698*, 300104"
,,,,,,,,,6,,
,,METHODS AND TOOLS,METL,,,,4,,,,"300095*, 300585"
,,,,,,,,5,,,"300144*, 300570, 300578*, 300579*, 300698*, 300104"
,,,,,,,,,6,,
CHANGE AND TRANSFORMATION,BUSINESS CHANGE IMPLEMENTATION,PORTFOLIO MANAGEMENT,POMG,,,,,5,,,300144*
,,,,,,,,,6,,
,,,,,,,,,,7,
,,PROGRAMME MANAGEMENT,PGMG,,,,,,6,,
,,,,,,,,,,7,
,,PROJECT MANAGEMENT,PRMG,,,,4,,,,"300578*, 300579*"
,,,,,,,,5,,,"�300144*, 300583*"
,,,,,,,,,6,,
,,"PORTFOLIO, PROGRAMME AND PROJECT SUPPORT",PROF,,2,,,,,,300579*
,,,,,,3,,,,,
,,,,,,,4,,,,300144*
,,,,,,,,5,,,
,,,,,,,,,6,,
,BUSINESS CHANGE MANAGEMENT,BUSINESS ANALYSIS,BUAN,,,3,,,,,300580
,,,,,,,4,,,,"300144*, 300578*, 300579*, 300585"
,,,,,,,,5,,,
,,,,,,,,,6,,
,,REQUIREMENTS DEFINITION AND MANAGEMENT,REQM,,2,,,,,,
,,,,,,3,,,,,"300578*, 300580"
,,,,,,,4,,,,"300585, 300698*"
,,,,,,,,5,,,"300144*, 300579*"
,,,,,,,,,6,,
,,BUSINESS PROCESS TESTING,BPTS,,,,4,,,,300144*
,,,,,,,,5,,,
,,CHANGE IMPLEMENTATION PLANNING AND MANAGEMENT,CIPM,,,,,5,,,"300578*, 300144*, 300583*"
,,,,,,,,,6,,
,,ORGANISATION DESIGN AND IMPLEMENTATION,ORDI,,,,,5,,,300578*
,,,,,,,,,6,,
,,BENEFITS MANAGEMENT,BENM,,,,,5,,,
,,,,,,,,,6,,
,,BUSINESS MODELLING,BSMO,,2,,,,,,300579*
,,,,,,3,,,,,"300578*, 300580"
,,,,,,,4,,,,300585
,,,,,,,,5,,,300144*
,,,,,,,,,6,,
,,SUSTAINABILITY ASSESSMENT,SUAS,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
 DEVELOPMENT AND IMPLEMENTATION,SYSTEMS DEVELOPMENT,SYSTEMS DEVELOPMENT MANAGEMENT,DLMG,,,,,5,,,"300144*, 300570, 300578*, 300579*, 300585"
,,,,,,,,,6,,300583*
,,,,,,,,,,7,
,,DATA ANALYSIS,DTAN,,2,,,,,,"300570, 300579*, 300581*"
,,,,,,3,,,,,300580
,,,,,,,4,,,,"300144*, 300700"
,,,,,,,,5,,,
,,SYSTEMS DESIGN,DESN,,2,,,,,,300585
,,,,,,3,,,,,300144*
,,,,,,,4,,,,"300580, 300698*"
,,,,,,,,5,,,"300570, 300579*, 300582*, 300583*"
,,,,,,,,,6,,
,,NETWORK DESIGN,NTDS,,,,,5,,,"300095*, 300579*"
,,,,,,,,,6,,
,,DATABASE/REPOSITORY DESIGN,DBDS,,2,,,,,,
,,,,,,3,,,,,
,,,,,,,4,,,,300585
,,,,,,,,5,,,"300579*, 300104, 300582*, 300583*"
,,,,,,,,,6,,
,,PROGRAMMING/SOFTWARE DEVELOPMENT,PROG,,2,,,,,,"300095*, 300104, 300144*, 300565"
,,,,,,3,,,,,"300581*, 300700"
,,,,,,,4,,,,300580
,,,,,,,,5,,,"300579*, 300582*, 300583*, 300698*"
,,ANIMATION DEVELOPMENT,ADEV,,,3,,,,,300579*
,,,,,,,4,,,,300570
,,,,,,,,5,,,
,,,,,,,,,6,,
,,SAFETY ENGINEERING,SFEN,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,SUSTAINABILITY ENGINEERING,SUEN,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,INFORMATION CONTENT AUTHORING,INCA,1,,,,,,,
,,,,,2,,,,,,"300144*, 300580"
,,,,,,3,,,,,"300570, 300579*"
,,,,,,,4,,,,
,,,,,,,,5,,,"300582*, 300583*"
,,,,,,,,,6,,
,,TESTING,TEST,1,,,,,,,"300565, 300585"
,,,,,2,,,,,,"300095*, 300104, 300580, 300581*"
,,,,,,3,,,,,
,,,,,,,4,,,,"300144*, 300579*"
,,,,,,,,5,,,"300582*, 300583*, 300698*, 300570"
,,,,,,,,,6,,
,USER EXPERIENCE,USER EXPERIENCE ANALYSIS,UNAN,,,3,,,,,300144*
,,,,,,,4,,,,
,,,,,,,,5,,,"300570, 300579*, 300582*, 300583*"
,,USER EXPERIENCE DESIGN,HCEV,,2,,,,,,300580
,,,,,,3,,,,,"300144*, 300585"
,,,,,,,4,,,,300579*
,,,,,,,,5,,,"300570, 300582*, 300583*"
,,USER EXPERIENCE EVALUATION,USEV,,2,,,,,,300580
,,,,,,3,,,,,"300144*, 300585"
,,,,,,,4,,,,300579*
,,,,,,,,5,,,300570
,INSTALLATION AND INTEGRATION,SYSTEMS INTEGRATION,SINT,,2,,,,,,"300144*, 300580, 300585"
,,,,,,3,,,,,300579*
,,,,,,,4,,,,
,,,,,,,,5,,,"300582*, 300583*, 300698*"
,,,,,,,,,6,,
,,PORTING/SOFTWARE INTEGRATION,PORT,,,3,,,,,300579*300585
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,HARDWARE DESIGN,HWDE,,,,4,,,,300570
,,,,,,,,5,,,
,,,,,,,,,6,,
,,SYSTEMS INSTALLATION/DECOMMISSIONING,HSIN,1,,,,,,,"300565, 300585"
,,,,,2,,,,,,300579*
,,,,,,3,,,,,300095*
,,,,,,,4,,,,
,,,,,,,,5,,,
DELIVERY AND OPERATION,SERVICE DESIGN,AVAILABILITY MANAGEMENT,AVMT,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,SERVICE LEVEL MANAGEMENT,SLMO,,2,,,,,,
,,,,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,,,,,,,,,7,
,SERVICE TRANSITION,SERVICE ACCEPTANCE,SEAC,,,,4,,,,
,,,,,,,,5,,,300570
,,,,,,,,,6,,
,,CONFIGURATION MANAGEMENT,CFMG,,2,,,,,,
,,,,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,ASSET MANAGEMENT,ASMG,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,CHANGE MANAGEMENT,CHMG,,2,,,,,,
,,,,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,RELEASE AND DEPLOYMENT,RELM,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,SERVICE OPERATION,SYSTEM SOFTWARE,SYSP,,,3,,,,,"300570, 300580"
,,,,,,,4,,,,
,,,,,,,,5,,,
,,CAPACITY MANAGEMENT,CPMG,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,SECURITY ADMINISTRATION,SCAD,1,,,,,,,
,,,,,2,,,,,,300580
,,,,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,PENETRATION TESTING,PENT,,,,4,,,,300570
,,,,,,,,5,,,
,,,,,,,,,6,,
,,RADIO FREQUENCY ENGINEERING,RFEN,,2,,,,,,
,,,,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,APPLICATIONS SUPPORT,ASUP,,2,,,,,,300579*
,,,,,,3,,,,,300580
,,,,,,,4,,,,
,,,,,,,,5,,,
,,IT INFRASTRUCTURE,ITOP,1,,,,,,,
,,,,,2,,,,,,
,,,,,,3,,,,,300580
,,,,,,,4,,,,"300579*, 300698*"
,,DATABASE ADMINISTRATION,DBAD,,2,,,,,,"300579*, 300585"
,,,,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,"300582*, 300583*"
,,STORAGE MANAGEMENT,STMG,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,NETWORK SUPPORT,NTAS,,2,,,,,,"300565, 300579*"
,,,,,,3,,,,,300095*
,,,,,,,4,,,,
,,,,,,,,5,,,
,,PROBLEM MANAGEMENT,PBMG,,,3,,,,,300580
,,,,,,,4,,,,300579*
,,,,,,,,5,,,
,,INCIDENT MANAGEMENT,USUP,,2,,,,,,300579*
,,,,,,3,,,,,300580
,,,,,,,4,,,,
,,,,,,,,5,,,
,,FACILITIES MANAGEMENT,DCMA,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
SKILLS AND QUALITY,SKILLS MANAGEMENT,LEARNING AND DEVELOPMENT MANAGEMENT,ETMG,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,,,,,,,,,7,
,,LEARNING ASSESSMENT AND EVALUATION,LEDA,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,LEARNING DESIGN AND DEVELOPMENT,TMCR,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,LEARNING DELIVERY,ETDL,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,TEACHING AND SUBJECT FORMATION,TEAC,,,,,5,,,�300570
,,,,,,,,,6,,
,PEOPLE MANAGEMENT,PERFORMANCE MANAGEMENT,PEMT,,,,4,,,,"300144*, 300578*"
,,,,,,,,5,,,
,,,,,,,,,6,,
,,RESOURCING,RESC,,,,4,,,,"300144*, 300579*, 300585"
,,,,,,,,5,,,
,,,,,,,,,6,,
,,PROFESSIONAL DEVELOPMENT,PDSV,,,,4,,,,"300144*, 300578*, 300579*"
,,,,,,,,5,,,
,,,,,,,,,6,,
,QUALITY AND CONFORMANCE,QUALITY MANAGEMENT,QUMG,,,,4,,,,"300144*, 300579*"
,,,,,,,,5,,,300570
,,,,,,,,,6,,
,,,,,,,,,,7,
,,QUALITY ASSURANCE,QUAS,,,3,,,,,"300144*, 300579*, 300585"
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,QUALITY STANDARDS,QUST,,2,,,,,,300579*
,,,,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,CONFORMANCE REVIEW,CORE,,,3,,,,,300579*
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,SAFETY ASSESSMENT,SFAS,,,,,5,,,
,,,,,,,,,6,,
,,DIGITAL FORENSICS,DGFS,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
RELATIONSHIPS AND ENGAGEMENT,STAKEHOLDER MANAGEMENT,SOURCING,SORC,,2,,,,,,
,,,,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,CONTRACT MANAGEMENT,ITCM,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,STAKEHOLDER RELATIONSHIP MANAGEMENT,RLMT,,,,4,,,,"300144*, 300578*"
,,,,,,,,5,,,
,,,,,,,,,6,,
,,,,,,,,,,7,
,,CLIENT SERVICES MANAGEMENT,CSMG,,3,,,,,,300144*
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,SALES AND MARKETING,DIGITAL MARKETING,MKTG,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,SELLING,SALE,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,SALES SUPPORT,SSUP,1,,,,,,,
,,,,,2,,,,,,
,,,,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,PRODUCT MANAGEMENT,PROD,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
STRATEGY AND ARCHITECTURE,INFORMATION STRATEGY,IT GOVERNANCE,GOVN,,,,,5,,,           
,,,,,,,,,6,,           
,,,,,,,,,,7,           
,,IT STRATEGY AND PLANNING,ITSP,,,,,5,,,           
,,,,,,,,,6,,           
,,,,,,,,,,7,           
,,INFORMATION MANAGEMENT,IRMG,,,,4,,,,           
,,,,,,,,5,,,           
,,,,,,,,,6,,           
,,,,,,,,,,7,           
,,INFORMATION SYSTEMS CO-ORDINATION,ISCO,,,,,,6,,           
,,,,,,,,,,7,           
,,INFORMATION SECURITY,SCTY,,,3,,,,,           
,,,,,,,4,,,,           
,,,,,,,,5,,,           
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,INFORMATION ASSURANCE,INAS,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,INFORMATION ANALYSIS,INAN,,,3,,,,,200023 300672 300673   
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,INFORMATION CONTENT PUBLISHING,ICPM,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,ADVICE AND GUIDANCE,CONSULTANCY,CNSL,,,,,5,,,     
,,,,,,,,,6,,     
,,TECHNICAL SPECIALISM,TECH,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,BUSINESS STRATEGY AND PLANNING,RESEARCH,RSCH,,2,,,,,,300672 300673    
,,,,,,3,,,,,200023 200030    
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,IT MANAGEMENT,ITMG,,,,,5,,,     
,,,,,,,,,6,,     
,,FINANCIAL MANAGEMENT,FMIT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,INNOVATION,INOV,,,,,5,,,     
,,,,,,,,,6,,     
,,BUSINESS PROCESS IMPROVEMENT,BPRE,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,ENTERPRISE AND BUSINESS ARCHITECTURE DEVELOPMENT,STPL,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,BUSINESS RISK MANAGEMENT,BURM,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,SUSTAINABILITY STRATEGY,SUST,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,TECHNICAL STRATEGY AND PLANNING,EMERGING TECHNOLOGY MONITORING,EMRG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,CONTINUITY MANAGEMENT,COPL,,,,4,,,,     
,,,,,,,,5,,,     
,,SUSTAINABILITY MANAGEMENT FOR IT,SUMI,,,,,5,,,     
,,,,,,,,,6,,     
,,NETWORK PLANNING,NTPL,,,,,5,,,     
,,,,,,,,,6,,     
,,SOLUTION ARCHITECTURE,ARCH,,,,,5,,,     
,,,,,,,,,6,,     
,,DATA MANAGEMENT,DATM,,2,,,,,,200030 300672    
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,METHODS AND TOOLS,METL,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
CHANGE AND TRANSFORMATION,BUSINESS CHANGE IMPLEMENTATION,PORTFOLIO MANAGEMENT,POMG,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,PROGRAMME MANAGEMENT,PGMG,,,,,,6,,     
,,,,,,,,,,7,     
,,PROJECT MANAGEMENT,PRMG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,"PORTFOLIO, PROGRAMME AND PROJECT SUPPORT",PROF,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,BUSINESS CHANGE MANAGEMENT,BUSINESS ANALYSIS,BUAN,,,3,,,,,300673
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,REQUIREMENTS DEFINITION AND MANAGEMENT,REQM,,2,,,,,,300673
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,BUSINESS PROCESS TESTING,BPTS,,,,4,,,,     
,,,,,,,,5,,,     
,,CHANGE IMPLEMENTATION PLANNING AND MANAGEMENT,CIPM,,,,,5,,,     
,,,,,,,,,6,,     
,,ORGANISATION DESIGN AND IMPLEMENTATION,ORDI,,,,,5,,,     
,,,,,,,,,6,,     
,,BENEFITS MANAGEMENT,BENM,,,,,5,,,     
,,,,,,,,,6,,     
,,BUSINESS MODELLING,BSMO,,2,,,,,,300673
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SUSTAINABILITY ASSESSMENT,SUAS,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
 DEVELOPMENT AND IMPLEMENTATION,SYSTEMS DEVELOPMENT,SYSTEMS DEVELOPMENT MANAGEMENT,DLMG,,,,,5,,,200030
,,,,,,,,,6,,     
,,,,,,,,,,7,   
,,DATA ANALYSIS,DTAN,,2,,,,,,200023 300672 300673   
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,SYSTEMS DESIGN,DESN,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,NETWORK DESIGN,NTDS,,,,,5,,,     
,,,,,,,,,6,,     
,,DATABASE/REPOSITORY DESIGN,DBDS,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
